"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2018","6,720.0","6,640.0","6,990.0","6,590.0","246.13K","1.51%"
"Aug 30, 2018","6,620.0","6,600.0","6,670.0","6,550.0","31.53K","0.30%"
"Aug 29, 2018","6,600.0","6,650.0","6,750.0","6,540.0","120.46K","0.00%"
"Aug 28, 2018","6,600.0","6,460.0","6,660.0","6,460.0","54.21K","0.76%"
"Aug 27, 2018","6,550.0","6,500.0","6,680.0","6,500.0","41.32K","1.71%"
"Aug 24, 2018","6,440.0","6,420.0","6,600.0","6,420.0","78.21K","-2.42%"
"Aug 23, 2018","6,600.0","6,510.0","6,670.0","6,470.0","44.16K","-0.75%"
"Aug 22, 2018","6,650.0","6,700.0","6,750.0","6,510.0","40.60K","-0.75%"
"Aug 21, 2018","6,700.0","6,730.0","6,780.0","6,540.0","23.25K","-0.15%"
"Aug 20, 2018","6,710.0","6,730.0","6,730.0","6,400.0","32.13K","-0.30%"
"Aug 17, 2018","6,730.0","6,230.0","6,780.0","6,230.0","295.23K","5.98%"
"Aug 16, 2018","6,350.0","6,500.0","6,500.0","6,310.0","52.65K","-2.31%"
"Aug 15, 2018","6,500.0","6,610.0","6,670.0","6,500.0","147.22K","-1.66%"
"Aug 14, 2018","6,610.0","6,680.0","6,750.0","6,610.0","118.49K","-1.20%"
"Aug 13, 2018","6,690.0","6,690.0","6,690.0","6,660.0","150.69K","0.00%"
"Aug 10, 2018","6,690.0","6,670.0","7,130.0","6,670.0","533.31K","0.30%"
"Aug 09, 2018","6,670.0","6,540.0","6,690.0","6,540.0","33.71K","1.99%"
"Aug 08, 2018","6,540.0","6,600.0","6,690.0","6,540.0","32.18K","-0.91%"
"Aug 07, 2018","6,600.0","6,660.0","6,990.0","6,600.0","84.22K","-0.90%"
"Aug 06, 2018","6,660.0","6,220.0","6,690.0","6,220.0","23.55K","0.91%"
"Aug 03, 2018","6,600.0","6,890.0","6,890.0","6,600.0","26.42K","-4.21%"
"Aug 02, 2018","6,890.0","6,880.0","6,900.0","6,500.0","10.16K","-0.14%"
"Aug 01, 2018","6,900.0","6,970.0","6,970.0","6,880.0","20.70K","-0.58%"
"Jul 31, 2018","6,940.0","6,900.0","6,950.0","6,900.0","38.49K","0.00%"
"Jul 30, 2018","6,940.0","6,970.0","6,970.0","6,900.0","17.77K","-0.43%"
"Jul 27, 2018","6,970.0","6,920.0","6,970.0","6,920.0","11.03K","0.87%"
"Jul 26, 2018","6,910.0","6,970.0","6,970.0","6,910.0","3.20K","-0.86%"
"Jul 25, 2018","6,970.0","6,960.0","7,100.0","6,930.0","132.72K","-0.43%"
"Jul 24, 2018","7,000.0","7,180.0","7,180.0","7,000.0","35.57K","-2.51%"
"Jul 23, 2018","7,180.0","7,070.0","7,200.0","7,060.0","43.21K","1.56%"
"Jul 20, 2018","7,070.0","7,080.0","7,090.0","6,900.0","6.07K","0.00%"
"Jul 19, 2018","7,070.0","7,100.0","7,100.0","6,820.0","14.84K","2.46%"
"Jul 18, 2018","6,900.0","7,000.0","7,090.0","6,860.0","16.12K","1.47%"
"Jul 17, 2018","6,800.0","7,100.0","7,100.0","6,800.0","9.72K","-0.29%"
"Jul 16, 2018","6,820.0","7,000.0","7,100.0","6,820.0","19.30K","-2.57%"
"Jul 13, 2018","7,000.0","7,140.0","7,200.0","6,900.0","40.57K","-2.37%"
"Jul 12, 2018","7,170.0","7,220.0","7,220.0","6,820.0","27.92K","-0.42%"
"Jul 11, 2018","7,200.0","7,250.0","7,250.0","6,810.0","5.07K","-0.69%"
"Jul 10, 2018","7,250.0","6,950.0","7,300.0","6,950.0","40.17K","-0.68%"
"Jul 09, 2018","7,300.0","7,300.0","7,390.0","7,050.0","9.90K","-2.01%"
"Jul 06, 2018","7,450.0","7,400.0","7,500.0","7,000.0","26.33K","3.47%"
"Jul 05, 2018","7,200.0","7,020.0","7,500.0","6,900.0","60.09K","-2.70%"
"Jul 04, 2018","7,400.0","7,400.0","7,650.0","7,110.0","12.12K","0.00%"
"Jul 03, 2018","7,400.0","7,790.0","7,790.0","7,400.0","51.28K","-3.14%"
"Jul 02, 2018","7,640.0","7,510.0","7,680.0","7,500.0","15.31K","-0.52%"
"Jun 29, 2018","7,680.0","7,600.0","7,950.0","7,600.0","5.56K","-2.41%"
"Jun 28, 2018","7,870.0","7,570.0","7,900.0","7,570.0","17.25K","-0.38%"
"Jun 27, 2018","7,900.0","7,820.0","7,900.0","7,500.0","11.55K","0.00%"
"Jun 26, 2018","7,900.0","7,800.0","7,900.0","7,740.0","7.07K","-0.75%"
"Jun 25, 2018","7,960.0","8,000.0","8,000.0","7,850.0","15.14K","-0.50%"
"Jun 22, 2018","8,000.0","7,720.0","8,600.0","7,720.0","78.44K","-1.84%"
"Jun 21, 2018","8,150.0","8,200.0","8,200.0","8,100.0","12.28K","-0.61%"
"Jun 20, 2018","8,200.0","8,200.0","8,400.0","8,000.0","112.22K","0.00%"
"Jun 19, 2018","8,200.0","8,310.0","8,310.0","8,000.0","41.03K","-1.91%"
