"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 16, 2018","40,504.0","40,940.0","41,375.0","39,894.0","27.73K","-1.06%"
"Apr 13, 2018","40,940.0","39,807.0","41,549.0","39,807.0","48.20K","2.85%"
"Apr 12, 2018","39,807.0","39,807.0","39,807.0","39,197.0","3.80K","0.00%"
"Apr 11, 2018","39,807.0","40,591.0","40,591.0","39,197.0","20.74K","-2.77%"
"Apr 10, 2018","40,940.0","41,201.0","41,201.0","40,504.0","5.12K","-0.63%"
"Apr 09, 2018","41,201.0","40,068.0","41,375.0","40,068.0","7.52K","-0.42%"
"Apr 06, 2018","41,375.0","41,811.0","41,811.0","40,504.0","0.46K","-1.04%"
"Apr 05, 2018","41,811.0","39,720.0","42,464.0","39,720.0","67.76K","5.26%"
"Apr 04, 2018","39,720.0","39,720.0","39,720.0","39,197.0","68.42K","0.22%"
"Apr 03, 2018","39,633.0","39,894.0","40,243.0","39,633.0","29.35K","-1.73%"
"Apr 02, 2018","40,330.0","40,025.0","40,504.0","39,807.0","6.31K","-0.43%"
"Mar 30, 2018","40,504.0","40,940.0","40,940.0","40,068.0","9.65K","-1.06%"
"Mar 29, 2018","40,940.0","40,722.0","40,940.0","40,068.0","10.59K","0.00%"
"Mar 28, 2018","40,940.0","40,068.0","40,940.0","40,068.0","1.49K","-0.53%"
"Mar 27, 2018","41,157.0","41,157.0","41,157.0","38,283.0","21.87K","0.00%"
"Mar 26, 2018","41,157.0","41,549.0","41,549.0","41,157.0","2.29K","-0.94%"
"Mar 23, 2018","41,549.0","41,636.0","41,767.0","41,157.0","0.64K","-1.24%"
"Mar 22, 2018","42,072.0","42,072.0","42,333.0","41,811.0","9.42K","0.00%"
"Mar 21, 2018","42,072.0","42,072.0","42,072.0","41,811.0","2.50K","0.00%"
"Mar 20, 2018","42,072.0","42,246.0","42,246.0","42,072.0","0.51K","-0.62%"
"Mar 19, 2018","42,333.0","42,072.0","42,333.0","41,811.0","8.05K","0.62%"
"Mar 16, 2018","42,072.0","41,985.0","42,159.0","41,811.0","1.35K","-0.41%"
"Mar 15, 2018","42,246.0","41,811.0","42,551.0","41,811.0","6.30K","-0.82%"
"Mar 14, 2018","42,595.0","42,682.0","42,682.0","41,811.0","2.28K","0.10%"
"Mar 13, 2018","42,551.0","42,420.0","42,595.0","41,549.0","1.10K","0.31%"
"Mar 12, 2018","42,420.0","41,462.0","42,420.0","41,375.0","4.64K","-0.20%"
"Mar 09, 2018","42,507.0","42,638.0","42,638.0","42,507.0","1.64K","-0.41%"
"Mar 08, 2018","42,682.0","42,595.0","42,769.0","41,811.0","0.19K","0.20%"
"Mar 07, 2018","42,595.0","42,682.0","42,682.0","41,898.0","0.39K","-0.20%"
"Mar 06, 2018","42,682.0","41,114.0","42,682.0","41,114.0","1.44K","0.00%"
"Mar 05, 2018","42,682.0","42,682.0","42,682.0","41,985.0","29.72K","0.00%"
"Mar 02, 2018","42,682.0","43,117.0","43,117.0","42,246.0","9.24K","-1.01%"
"Mar 01, 2018","43,117.0","43,117.0","43,117.0","42,246.0","2.97K","0.00%"
"Feb 28, 2018","43,117.0","43,117.0","43,117.0","42,682.0","1.41K","0.00%"
"Feb 27, 2018","43,117.0","43,466.0","43,466.0","43,117.0","2.60K","0.00%"
"Feb 26, 2018","43,117.0","44,162.0","44,162.0","43,117.0","2.23K","-2.37%"
